City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hermanus,ZA,2022-05-08 17:10:25,-34.4187,19.2345,59.81,78,62,4.38
68,Ouargaye,BF,2022-05-08 17:10:26,11.5033,0.0572,101.44,22,47,2.17
69,Reconquista,AR,2022-05-08 17:10:26,-29.15,-59.65,73.8,43,34,5.46
70,Tessalit,ML,2022-05-08 17:10:27,20.1986,1.0114,95.61,4,0,12.3
71,Rio Grande,BR,2022-05-08 17:10:28,-32.035,-52.0986,75.31,69,1,10.98
72,Tyukalinsk,RU,2022-05-08 17:10:28,55.8732,72.1967,52.25,49,69,4.63
73,Saryozek,KZ,2022-05-08 17:10:29,44.3583,77.9753,57.78,59,7,5.01
74,Medvezhyegorsk,RU,2022-05-08 17:10:29,62.9167,34.4667,42.69,59,74,4.74
75,Ribeira Grande,PT,2022-05-08 17:10:30,38.5167,-28.7,66.6,68,20,11.5
76,Jaru,BR,2022-05-08 17:10:30,-10.4389,-62.4664,84.96,59,14,4.09
77,Makokou,GA,2022-05-08 17:10:31,0.5738,12.8642,74.17,93,66,1.57
78,Mehamn,NO,2022-05-08 17:10:31,71.0357,27.8492,31.95,69,40,6.91
79,Cidreira,BR,2022-05-08 17:08:03,-30.1811,-50.2056,68.34,70,0,13.71
80,Umm Lajj,SA,2022-05-08 17:10:32,25.0213,37.2685,80.87,54,42,10.98
81,Cayenne,GF,2022-05-08 17:10:32,4.9333,-52.3333,86.04,1,75,12.66
82,Encruzilhada Do Sul,BR,2022-05-08 17:10:33,-30.5439,-52.5219,67.98,56,0,4.12
83,Bom Jesus,BR,2022-05-08 17:10:33,-9.0744,-44.3586,96.08,18,88,7.18
84,Port-Gentil,GA,2022-05-08 17:10:34,-0.7193,8.7815,85.96,74,75,12.66
85,Victoria,HK,2022-05-08 17:10:34,22.2855,114.1577,77.38,80,100,8.99
86,Itupiranga,BR,2022-05-08 17:10:35,-5.1347,-49.3267,89.92,54,99,4.05
87,Presidencia Roque Saenz Pena,AR,2022-05-08 17:10:35,-26.7852,-60.4388,78.66,40,1,5.73
88,Klaksvik,FO,2022-05-08 17:10:36,62.2266,-6.589,49.12,95,100,20.98
89,Takoradi,GH,2022-05-08 17:10:36,4.8845,-1.7554,83.48,74,96,10.4
90,Berlevag,NO,2022-05-08 17:11:37,70.8578,29.0864,32.0,78,92,7.18
91,Enterprise,US,2022-05-08 17:11:37,36.0252,-115.2419,77.16,22,0,25.32
92,Dole,FR,2022-05-08 17:11:37,47.0833,5.5,73.31,49,0,12.66
93,Bari,IT,2022-05-08 17:09:19,41.1177,16.8512,66.25,94,40,5.75
94,Cerkezkoy,TR,2022-05-08 17:11:38,41.285,28.0003,53.78,76,0,18.41
95,Lebu,CL,2022-05-08 17:11:38,-37.6167,-73.65,57.33,92,99,7.54
96,Raduzhnyy,RU,2022-05-08 17:11:39,62.0961,77.475,28.17,99,87,2.68
97,Taoudenni,ML,2022-05-08 17:11:39,22.6783,-3.9836,98.78,4,26,13.15
98,Sao Marcos,BR,2022-05-08 17:11:40,-28.9711,-51.0681,72.05,43,0,2.98
99,Lebedyn,UA,2022-05-08 17:11:40,50.5852,34.4849,56.62,71,96,7.0
100,Kalabo,ZM,2022-05-08 17:11:41,-14.97,22.6814,74.48,39,39,4.65
101,Dingle,PH,2022-05-08 17:11:41,10.9995,122.6711,79.41,83,46,8.68
102,Husavik,IS,2022-05-08 17:10:26,66.0449,-17.3389,44.67,81,100,4.9
103,Mikhaylovka,RU,2022-05-08 17:11:42,50.06,43.2379,52.5,50,6,5.64
104,Ambanja,MG,2022-05-08 17:11:42,-13.6833,48.45,75.56,91,28,2.19
105,Chemin Grenier,MU,2022-05-08 17:11:43,-20.4872,57.4656,74.79,86,34,9.22
106,Kabare,CD,2022-05-08 17:11:43,-2.4683,28.8242,62.04,96,55,1.77
107,Pangnirtung,CA,2022-05-08 17:11:43,66.1451,-65.7125,26.19,83,8,4.32
108,Villa Carlos Paz,AR,2022-05-08 17:10:57,-31.4241,-64.4978,73.38,34,98,21.0
