City ID,City,Country,Humidity,Max Temp,Description,Lat,Lng,Hotel Name
537,Iracoubo,GF,87,77.07,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
542,Santa Rosa,PH,65,89.11,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
546,Abu Dhabi,AE,68,80.62,clear sky,24.4667,54.3667,Beach Rotana
548,Khetia,IN,39,86.9,few clouds,21.6667,74.5833,Mastana Hotel
552,Morant Bay,JM,85,77.7,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
553,Maragogi,BR,85,75.74,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
556,Am Timan,TD,29,88.57,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
560,Gewane,ET,46,80.94,light rain,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
566,Trairi,BR,86,75.27,overcast clouds,-3.2778,-39.2689,janelas do mar
578,Catumbela,AO,84,76.08,scattered clouds,-12.4314,13.5472,Hotel Do Kamgamba
579,Umm Lajj,SA,40,81.14,broken clouds,25.0213,37.2685,Moon light Furnished Units
580,Birao,CF,41,82.83,overcast clouds,10.2849,22.7882,
584,Youkounkoun,GN,42,86.11,few clouds,12.5333,-13.1333,
590,Coruripe,BR,84,75.65,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
601,Areia Branca,BR,76,78.42,heavy intensity rain,-4.9561,-37.1369,Areia Branca Apart Hotel
606,Ugoofaaru,MV,77,83.66,light rain,5.6667,73.0,Ungoofaaru Inn
608,Pocone,BR,46,75.88,broken clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
612,Bajil,YE,61,86.38,clear sky,15.0584,43.2851,فندق حضرموت
618,Lahij,YE,58,79.95,clear sky,13.1667,44.5833,
621,Saint-Georges,GD,75,79.2,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
627,Kilindoni,TZ,70,80.69,clear sky,-7.9139,39.6668,Bustani B&B
632,Puerto Carreno,CO,84,79.12,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
636,Pailitas,CO,92,76.3,overcast clouds,8.9565,-73.6255,HOTEL JECENTER
647,Muisne,EC,85,75.07,scattered clouds,0.6,-80.0333,Quinta Samay
657,Dire,ML,23,86.02,few clouds,12.2833,-10.9667,
658,South Venice,US,46,79.0,clear sky,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
659,Becerril,CO,93,76.93,overcast clouds,9.7041,-73.2793,Barrio El Carmen
660,Campoverde,PE,62,80.85,broken clouds,-8.4753,-74.8058,Hospedaje Coral's
664,Kishi,NG,87,76.75,overcast clouds,9.0833,3.85,New NCCF KISI
668,Omboue,GA,91,77.61,light rain,-1.5746,9.2618,Hotel Olako
674,New Richmond,US,31,78.48,broken clouds,45.123,-92.5366,Coratel Inn & Suites by Jasper New Richmond
677,Illela,NG,43,86.97,overcast clouds,13.7292,5.2975,
679,Parrita,CR,85,79.74,overcast clouds,9.5201,-84.3225,Beso del Viento
681,Bosaso,SO,70,82.67,clear sky,11.2842,49.1816,Red Sea Hotel
684,Carbondale,US,71,82.4,clear sky,37.7273,-89.2168,Best Western Saluki Inn
693,Sao Miguel Do Araguaia,BR,48,76.69,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
697,Karaton,ID,84,81.46,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
700,Limon,CR,76,80.73,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
706,Bithur,IN,36,89.19,clear sky,26.6333,80.2833,Arpit Yadav
708,Araouane,ML,8,82.56,clear sky,18.9048,-3.5265,
713,Cacoal,BR,87,76.44,overcast clouds,-11.4386,-61.4472,Hotel BR 364
717,Cape Coast,GH,87,80.56,light rain,5.1053,-1.2466,Samrit Hotel
