City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Dingle,PH,10.9995,122.6711,85.93,64,100,5.55,overcast clouds
80,Puerto Narino,CO,-3.7703,-70.3831,74.46,98,100,2.39,overcast clouds
81,Gat,IL,31.61,34.7642,68.4,51,30,4.18,scattered clouds
82,Eyl,SO,7.9803,49.8164,82.6,79,100,9.75,light rain
83,Bredasdorp,ZA,-34.5322,20.0403,60.12,75,100,13.76,overcast clouds
84,Thompson,CA,55.7435,-97.8558,60.96,41,100,6.91,overcast clouds
85,Gazli,UZ,40.1333,63.45,64.47,34,46,9.89,scattered clouds
86,Mao,ES,39.8885,4.2658,59.56,94,0,4.61,clear sky
87,Buchanan,LR,5.8808,-10.0467,78.39,88,100,5.77,moderate rain
88,Richards Bay,ZA,-28.783,32.0377,62.62,88,100,8.16,overcast clouds
89,Bereda,ES,43.2686,-7.5406,47.91,94,50,1.41,scattered clouds
90,Uthal,PK,25.8072,66.6219,81.1,80,0,4.47,clear sky
91,Jumla,NP,29.2747,82.1838,57.22,87,57,0.51,broken clouds
92,Sandwick,GB,60.0,-1.25,48.02,87,75,13.8,light rain
93,Olafsvik,IS,64.8945,-23.7142,35.02,95,100,26.89,light snow
94,Sao Filipe,CV,14.8961,-24.4956,72.36,82,6,7.05,clear sky
95,Valdivia,CL,-39.8142,-73.2459,41.09,82,100,2.59,overcast clouds
96,Upernavik,GL,72.7868,-56.1549,16.16,90,30,6.31,scattered clouds
97,Mushie,CD,-3.0167,16.9,72.7,95,83,3.11,broken clouds
98,Naqadeh,IR,36.9553,45.388,45.27,82,1,0.43,clear sky
99,Kiruna,SE,67.8557,20.2251,32.92,100,100,0.0,fog
100,Henties Bay,NA,-22.116,14.2845,61.14,74,91,6.17,overcast clouds
101,Mar Del Plata,AR,-38.0023,-57.5575,53.94,76,0,10.0,clear sky
102,Necochea,AR,-38.5473,-58.7368,49.41,75,20,5.37,few clouds
103,Buriti Alegre,BR,-18.14,-49.0403,65.37,63,21,3.67,few clouds
104,Bonthe,SL,7.5264,-12.505,80.06,88,100,5.03,light rain
105,Meiganga,CM,6.5167,14.3,67.26,91,100,2.82,overcast clouds
106,Chimbote,PE,-9.0853,-78.5783,63.1,86,5,6.46,clear sky
107,Quatre Cocos,MU,-20.2078,57.7625,75.09,79,85,10.07,overcast clouds
108,Cap Malheureux,MU,-19.9842,57.6142,75.47,80,34,13.0,scattered clouds
109,Kalaleh,IR,37.3807,55.4916,55.0,88,0,0.0,clear sky
110,Francisco Beltrao,BR,-26.0811,-53.055,59.95,99,90,1.36,overcast clouds
111,Punta Arenas,CL,-53.15,-70.9167,42.91,70,75,11.5,broken clouds
112,La Palma,US,33.8464,-118.0467,71.87,42,75,14.97,broken clouds
113,Nouakchott,MR,18.0858,-15.9785,75.13,79,13,12.19,few clouds
114,Mabaruma,GY,8.2,-59.7833,75.69,87,1,5.55,clear sky
115,Galle,LK,6.0367,80.217,82.06,84,100,19.91,overcast clouds
116,Ribeira Grande,PT,38.5167,-28.7,60.87,86,100,22.37,overcast clouds
117,Cururupu,BR,-1.8283,-44.8683,73.96,93,100,1.39,overcast clouds
118,Vila Velha,BR,-20.3297,-40.2925,71.55,88,20,5.75,few clouds
119,Porangatu,BR,-13.4408,-49.1486,73.4,52,58,2.68,broken clouds
120,Praia,CV,14.9215,-23.5087,72.14,78,0,6.91,clear sky
121,Puerto Leguizamo,CO,-0.1934,-74.7819,73.24,97,34,2.17,scattered clouds
122,Bambous Virieux,MU,-20.3428,57.7575,75.22,94,20,4.61,few clouds
123,Polovinnoye,RU,54.7914,65.9864,51.93,76,82,14.83,broken clouds
124,Cabinda,AO,-5.55,12.2,77.52,89,100,3.42,overcast clouds
125,Bom Jardim,BR,-7.7958,-35.5872,69.85,95,39,4.88,scattered clouds
126,Manali,IN,13.1667,80.2667,87.89,79,100,16.08,heavy intensity rain
127,Polunochnoye,RU,60.8697,60.4153,43.59,91,100,7.76,overcast clouds
128,Isilkul,RU,54.9109,71.2728,55.99,28,100,18.59,overcast clouds
129,Bubaque,GW,11.2833,-15.8333,77.72,73,100,19.35,overcast clouds
130,Karlskrona,SE,56.1616,15.5866,54.05,95,100,13.82,overcast clouds
131,Marawi,PH,7.9986,124.2928,77.94,77,93,0.98,overcast clouds
132,Sarmanovo,RU,55.2553,52.5891,50.68,97,100,8.14,light rain
133,Lasa,IT,46.6166,10.7002,56.28,72,97,2.06,overcast clouds
134,Krasnovishersk,RU,60.4078,57.082,49.26,75,100,5.06,overcast clouds
135,Okemos,US,42.7223,-84.4275,80.58,57,75,12.66,broken clouds
136,Baie-Saint-Paul,CA,47.4411,-70.4986,56.25,67,44,1.79,scattered clouds
137,Kudahuvadhoo,MV,2.6708,72.8944,84.4,76,99,17.63,overcast clouds
138,Zheleznodorozhnyy,RU,55.7503,38.0042,48.38,63,100,11.56,overcast clouds
139,Motril,ES,36.7507,-3.5179,66.27,73,0,3.6,clear sky
140,Stralsund,DE,54.3091,13.0818,55.02,96,100,7.99,overcast clouds
141,Sheksna,RU,59.21,38.5107,35.67,73,91,6.51,overcast clouds
142,Sinnamary,GF,5.3833,-52.95,77.34,87,29,9.4,scattered clouds
143,Kanelovskaya,RU,46.5908,39.19,44.35,83,99,6.13,overcast clouds
144,Cayenne,GF,4.9333,-52.3333,82.09,1,75,5.75,broken clouds
145,Zinder,NE,13.8072,8.9881,86.04,40,100,9.44,overcast clouds
146,Saint George,US,37.1041,-113.5841,72.63,9,0,11.5,clear sky
147,Menongue,AO,-14.6585,17.691,54.48,51,0,2.68,clear sky
148,Los Llanos De Aridane,ES,28.6585,-17.9182,65.12,55,20,5.99,few clouds
149,Sheffield,GB,53.383,-1.4659,55.2,73,100,3.0,overcast clouds
150,Husavik,IS,66.0449,-17.3389,31.64,96,100,11.59,snow
151,Tasiilaq,GL,65.6145,-37.6368,24.96,91,100,12.55,overcast clouds
152,Yataity Del Norte,PY,-24.8333,-56.35,60.33,98,6,3.36,clear sky
153,Saint Anthony,US,45.0205,-93.218,78.73,27,0,9.22,clear sky
154,Ornskoldsvik,SE,63.2909,18.7153,43.75,100,100,3.44,light intensity drizzle
155,Kishtwar,IN,33.3167,75.7667,62.42,59,0,4.63,clear sky
156,Lokosovo,RU,61.1333,74.8167,52.79,67,100,9.55,overcast clouds
157,Goias,BR,-15.5807,-49.6362,69.3,53,87,2.68,overcast clouds
158,Rafsanjan,IR,30.4067,55.9939,64.4,13,0,4.92,clear sky
159,Margate,GB,51.3813,1.3862,54.7,78,98,3.0,overcast clouds
160,Luau,AO,-10.7073,22.2247,62.69,67,1,5.06,clear sky
161,Camana,PE,-16.6228,-72.7111,65.48,86,0,5.68,clear sky
162,Sompeta,IN,18.9333,84.6,81.73,83,69,8.08,broken clouds
163,Kruisfontein,ZA,-34.0033,24.7314,58.32,74,0,15.14,clear sky
164,Georgiyevka,KZ,43.0369,74.7114,59.04,94,40,6.71,scattered clouds
165,Lebu,CL,-37.6167,-73.65,51.66,77,100,6.38,overcast clouds
166,Staritsa,RU,56.5075,34.9354,37.04,76,100,7.18,overcast clouds
167,Bandarbeyla,SO,9.4942,50.8122,81.52,81,9,3.78,clear sky
168,Quartucciu,IT,39.2519,9.1794,61.0,77,0,8.99,clear sky
169,Sur,OM,22.5667,59.5289,82.11,50,0,1.43,clear sky
170,Petrovsk,RU,52.3064,45.3917,36.16,91,100,13.56,overcast clouds
171,Rio Gallegos,AR,-51.6226,-69.2181,42.85,70,0,4.61,clear sky
172,Axim,GH,4.8699,-2.2405,80.24,86,100,7.45,overcast clouds
173,Shahi,IN,28.55,79.3167,84.11,43,0,7.0,clear sky
174,Kochubey,RU,44.3861,46.5825,50.88,58,69,7.72,broken clouds
